trial,lag_chosen,r_mean,k,lr,beta,warmup_frac,core_type,conv_ks,gru_hidden,lambda_ortho,lambda_smooth,weight_decay,grad_clip,dropout_p,epochs,patience,pca_dim,seed
25,25,0.144775390625,8,0.0006954048464978498,0.0011629036568669001,0.2189473542925453,gru,9,,0.0009972029092127769,0.0015039081005284469,0.00027168435557552693,1.3896978019360249,0.14462936184604866,150,25,50,1259
26,25,0.11553013324737549,5,0.0019234958786421247,0.09023500243988744,0.4323157308647792,conv,5,k,0.0011464123555481429,0.0014998856668161965,0.00026486893429540864,1.9712439201069643,0.009192206214128506,150,25,50,1260
27,25,0.10920865833759308,10,0.00021396963474071894,0.0010338620006100495,0.05290558762456049,mlp,3,k,0.0006144926117454345,0.0014458961068465144,0.0004227000723745972,1.2769364353764854,0.11511483007390913,150,25,50,1261
28,25,0.12793146073818207,8,0.0001643603804526838,0.001458104237333326,0.2240985618088971,gru,9,k,0.002880802459968777,0.0007734173326294548,0.00022205537634831257,1.1180167585802212,0.12749832373554645,150,25,50,1262
29,25,0.3009449541568756,10,0.003788369600728138,0.13961222092649012,0.23126670538097,mlp,7,k,0.00014967314010235077,0.0008250782848261624,0.00030996459302994685,1.8380243547224866,0.1381023700949369,150,25,50,1263
30,25,0.235857754945755,10,0.0008155465595422222,0.013549377692594098,0.18392584866278616,mlp,3,k,0.0012984231955652117,9.786269567576888e-06,0.00022743438906443016,0.627917986876539,0.03954743983170276,150,25,50,1264
31,25,0.07245250046253204,8,0.0006834892959476615,0.4600963448394053,0.2318932053917961,conv,9,2,0.0023649980140781415,0.001623141768815703,0.0004731426532889859,1.292772010289934,0.06321061622530545,150,25,50,1265
32,25,0.10421673953533173,10,0.00018887623055931539,0.020539179928159686,0.12282442098784019,mlp,3,k,0.002329425806875369,0.0001160242088029132,0.0003910201309072839,0.3362686034302893,0.0883269050382422,150,25,50,1266
33,25,0.2850024402141571,10,0.0026082757723073727,0.45174780474837833,0.08921626625747048,mlp,3,2,0.0010576119292281447,0.0018371417552636143,0.00010812060390017648,0.9971275363539249,0.10249630842097072,150,25,50,1267
34,25,0.09083077311515808,8,0.0003583026382251577,0.04020888855751485,0.27755077205237816,mlp,3,,0.0014186206863639299,0.00031244379768442576,0.00021895383604833706,0.04235937153906777,0.0268546974313334,150,25,50,1268
35,25,0.1470794379711151,10,0.0002247178046253725,0.022245577069462272,0.09055750539029556,gru,9,k,0.0017646003504392404,0.0026789728833250277,0.00036644905075666236,1.8872636404893854,0.02921758746476126,150,25,50,1269
36,25,0.33477821946144104,5,0.0029656575203334677,1.6570723539015677,0.06690906591754647,mlp,5,k,4.081043338012469e-05,0.000700832649993088,0.0001729127974484504,0.617032796890814,0.018184560417990537,150,25,50,1270
37,25,0.12026049941778183,8,0.00040577702544867877,0.05602131733977952,0.3473798446120883,gru,5,2,0.0026684596307941354,0.0017627841862816727,0.00044204569423553344,1.1080055930184323,0.11933353177660619,150,25,50,1271
38,25,0.2546446919441223,5,0.0018797625087255852,0.009089081471905642,0.2884468265552886,mlp,5,2,0.0018427915242894299,0.0002117550667498913,0.0004465117884959357,1.0392151770449107,0.012616821862573763,150,25,50,1272
39,25,0.18653453886508942,8,0.0017604946200802825,0.0022081440804435997,0.3338938342438607,conv,5,2,0.0005675952150915007,0.0019128883617429118,0.0004618081708618347,1.6249728614974293,0.035303502667159974,150,25,50,1273
40,25,0.31534749269485474,5,0.0030618800886255955,0.3269729072892216,0.08651014189751322,conv,3,2,0.002527152898635086,0.002625711815578136,6.096464943880786e-05,0.7758659890613644,0.07882036399153897,150,25,50,1274
41,25,0.055883586406707764,5,0.00046927517371311004,2.442241431582822,0.3776142955567184,mlp,9,,0.0022010710605228807,0.0016020128681819915,0.00048800878116903,1.377818612690386,0.14834854848979834,150,25,50,1275
42,25,0.335206001996994,5,0.002145305287152258,0.9461413017153245,0.06601413628355246,conv,9,,0.001658972757627675,0.0024467252471977357,0.0001284909377458271,0.03957389431930092,0.045454904305129495,150,25,50,1276
43,25,0.2571837604045868,8,0.001084522115144425,0.004952381395721283,0.12980722420849589,conv,7,k,0.0003955262578881619,0.001247369875291217,0.00021471076680510033,0.25989046573174046,0.022070323829524778,150,25,50,1277
44,25,0.1135147213935852,5,0.0018041157396660222,0.23367314827313831,0.39580500415540104,conv,5,k,0.0001484774326041286,0.0024055498244215916,0.00014873023285930044,0.8295057815141582,0.03363262190351502,150,25,50,1278
